Imaginary,Real
258,772
1286,1800
512,774
64,6
26691,10
53,0
-16609,-8660
2,0
1,0
0,0
10,0
0,6
21536,2048
25264,1
21802,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
54,0
-319,-7897
4,0
1,0
0,0
10,0
0,6
21536,2048
-18382,1
21805,0
4,0
258,772
1286,1800
512,774
64,6
26691,10
55,0
-27974,-7134
2,0
1,0
0,0
10,0
0,6
21536,2048
25739,1
21032,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
56,0
3854,-6371
1,0
1,0
0,0
10,0
0,6
21536,2048
4253,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
57,0
-1157,-5609
1,0
1,0
0,0
10,0
0,6
21536,2048
3701,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
58,0
-4408,-4846
1,0
1,0
0,0
10,0
0,6
21536,2048
4293,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
59,0
22303,-4082
2,0
1,0
0,0
10,0
0,6
21536,2048
26554,1
21032,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
60,0
17863,-3319
2,0
1,0
0,0
10,0
0,6
21536,2048
24434,1
21987,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
61,0
14364,-2556
2,0
1,0
0,0
10,0
0,6
21536,2048
24649,1
21821,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
62,0
11929,-1793
2,0
1,0
0,0
10,0
0,6
21536,2048
24573,1
21818,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
63,0
8574,-1030
2,0
1,0
0,0
10,0
0,6
21536,2048
26514,1
21820,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
64,0
3281,-267
2,0
1,0
0,0
10,0
0,6
21536,2048
25942,1
21812,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
65,0
-32531,495
1,0
1,0
0,0
10,0
0,6
21536,2048
3776,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
66,0
31070,1258
1,0
1,0
0,0
10,0
0,6
18895,-1942
-14000,14876
-18587,-17841
-26884,14933
258,772
1286,1800
512,774
64,6
26691,10
67,0
30336,2021
1,0
1,0
0,0
10,0
0,6
21536,2048
5755,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
68,0
22904,2784
1,0
1,0
0,0
10,0
0,6
-18587,-17841
-26884,-17835
0,0
0,16368
258,772
1286,1800
512,774
64,6
26691,10
69,0
23322,3548
4,0
1,0
0,0
10,0
0,6
21536,2048
-7718,1
29644,0
4,0
258,772
1286,1800
512,774
64,6
26691,10
70,0
-8201,4310
3,0
1,0
0,0
10,0
0,6
21536,2048
-26049,1
21034,0
3,0
258,772
1286,1800
512,774
64,6
26691,10
71,0
-24992,5073
2,0
1,0
0,0
10,0
0,6
21536,2048
27315,1
21020,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
72,0
5741,5836
1,0
1,0
0,0
10,0
0,6
21536,2048
3979,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
73,0
1319,6599
1,0
1,0
0,0
10,0
0,6
21536,2048
4137,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
74,0
-2191,7361
1,0
1,0
0,0
10,0
0,6
21536,2048
4172,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
75,0
-3885,8124
1,0
1,0
0,0
10,0
0,6
21536,2048
5009,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
76,0
16865,8888
2,0
1,0
0,0
10,0
0,6
21536,2048
22874,1
21015,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
77,0
-14733,9650
1,0
1,0
0,0
10,0
0,6
21536,2048
3844,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
78,0
-18347,10413
1,0
1,0
0,0
10,0
0,6
21536,2048
4192,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
79,0
-22791,11176
1,0
1,0
0,0
10,0
0,6
21536,2048
3924,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
80,0
-24626,11939
1,0
1,0
0,0
10,0
0,6
18895,-1942
-14000,14876
-18587,-17841
-26884,14933
258,772
1286,1800
512,774
64,6
26691,10
81,0
-29913,12702
1,0
1,0
0,0
10,0
0,6
21536,2048
4656,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
82,0
31425,13465
1,0
1,0
0,0
10,0
0,6
21536,2048
4495,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
83,0
27452,14228
1,0
1,0
0,0
10,0
0,6
21536,2048
4403,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
84,0
23346,14991
1,0
1,0
0,0
10,0
0,6
21536,2048
4485,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
85,0
19615,15754
1,0
1,0
0,0
10,0
0,6
21536,2048
4598,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
86,0
15287,16517
1,0
1,0
0,0
10,0
0,6
21536,2048
4363,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
87,0
11397,17280
1,0
1,0
0,0
10,0
0,6
21536,2048
4316,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
88,0
7451,18043
1,0
1,0
0,0
10,0
0,6
21536,2048
4338,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
89,0
3866,18806
1,0
1,0
0,0
10,0
0,6
21536,2048
4308,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
90,0
-156,19568
1,0
1,0
0,0
10,0
0,6
21536,2048
4228,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
91,0
-4304,20331
1,0
1,0
0,0
10,0
0,6
21536,2048
4424,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
92,0
-8338,21094
1,0
1,0
0,0
10,0
0,6
21536,2048
4432,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
93,0
-12787,21857
1,0
1,0
0,0
10,0
0,6
21536,2048
4046,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
94,0
-16467,22620
1,0
1,0
0,0
10,0
0,6
21536,2048
4228,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
95,0
-20585,23383
1,0
1,0
0,0
10,0
0,6
21536,2048
4175,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
96,0
-23914,24146
1,0
1,0
0,0
10,0
0,6
21536,2048
4217,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
97,0
-28173,24909
1,0
1,0
0,0
10,0
0,6
21536,2048
4329,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
98,0
-32452,25672
1,0
1,0
0,0
10,0
0,6
21536,2048
4323,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
99,0
28970,26435
1,0
1,0
0,0
10,0
0,6
21536,2048
4035,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
100,0
25588,27198
1,0
1,0
0,0
10,0
0,6
21536,2048
4562,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
101,0
21213,27961
1,0
1,0
0,0
10,0
0,6
21536,2048
3757,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
102,0
17518,28724
1,0
1,0
0,0
10,0
0,6
21536,2048
4530,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
103,0
13141,29487
1,0
1,0
0,0
10,0
0,6
21536,2048
3917,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
104,0
9481,30250
1,0
1,0
0,0
10,0
0,6
21536,2048
4213,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
105,0
7479,31013
1,0
1,0
0,0
10,0
0,6
21536,2048
5300,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
106,0
1384,31776
1,0
1,0
0,0
10,0
0,6
21536,2048
4194,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
107,0
-2489,32538
1,0
1,0
0,0
10,0
0,6
21536,2048
4254,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
108,0
-6235,-32235
1,0
1,0
0,0
10,0
0,6
21536,2048
4374,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
109,0
-10269,-31472
1,0
1,0
0,0
10,0
0,6
21536,2048
4319,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
110,0
-12591,-30709
1,0
1,0
0,0
10,0
0,6
18895,-1942
-14000,14876
-18587,-17841
-26884,14933
258,772
1286,1800
512,774
64,6
26691,10
111,0
-18351,-29946
1,0
1,0
0,0
10,0
0,6
21536,2048
4401,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
112,0
-22364,-29183
1,0
1,0
0,0
10,0
0,6
21536,2048
4310,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
113,0
-26344,-28420
1,0
1,0
0,0
10,0
0,6
21536,2048
4309,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
114,0
-30399,-27657
1,0
1,0
0,0
10,0
0,6
21536,2048
4222,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
115,0
-3719,-26894
2,0
1,0
0,0
10,0
0,6
21536,2048
25632,1
21033,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
116,0
-9012,-26131
2,0
1,0
0,0
10,0
0,6
21536,2048
22162,1
21795,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
117,0
1321,-25367
3,0
1,0
0,0
10,0
0,6
21536,2048
-28695,1
21819,0
3,0
258,772
1286,1800
512,774
64,6
26691,10
118,0
-24433,-24604
5,0
1,0
0,0
10,0
0,6
21536,2048
5926,2
30568,0
5,0
258,772
1286,1800
512,774
64,6
26691,10
119,0
-5689,-23842
3,0
1,0
0,0
10,0
0,6
21536,2048
-27993,1
21826,0
3,0
258,772
1286,1800
512,774
64,6
26691,10
120,0
-22264,-23079
2,0
1,0
0,0
10,0
0,6
21536,2048
26020,1
21786,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
121,0
7792,-22316
1,0
1,0
0,0
10,0
0,6
21536,2048
4284,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
122,0
30054,-21553
2,0
1,0
0,0
10,0
0,6
21536,2048
22596,1
21021,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
123,0
-209,-20791
1,0
1,0
0,0
10,0
0,6
21536,2048
4295,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
124,0
-4475,-20028
1,0
1,0
0,0
10,0
0,6
21536,2048
3793,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
125,0
-8550,-19265
1,0
1,0
0,0
10,0
0,6
21536,2048
3974,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
126,0
16388,-18501
2,0
1,0
0,0
10,0
0,6
21536,2048
24337,1
21609,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
127,0
-16941,-17739
1,0
1,0
0,0
10,0
0,6
21536,2048
3745,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
128,0
-20740,-16976
1,0
1,0
0,0
10,0
0,6
21536,2048
3904,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
129,0
-24505,-16213
1,0
1,0
0,0
10,0
0,6
21536,2048
3998,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
130,0
-22913,-15450
1,0
1,0
0,0
10,0
0,6
21536,2048
5473,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
131,0
-25306,-14686
4,0
1,0
0,0
10,0
0,6
21536,2048
-9549,1
30483,0
4,0
258,772
1286,1800
512,774
64,6
26691,10
132,0
31049,-13924
1,0
1,0
0,0
10,0
0,6
21536,2048
4715,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
133,0
25857,-13161
1,0
1,0
0,0
10,0
0,6
21536,2048
4184,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
134,0
21739,-12398
1,0
1,0
0,0
10,0
0,6
21536,2048
4255,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
135,0
17208,-11635
1,0
1,0
0,0
10,0
0,6
21536,2048
3797,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
136,0
13295,-10872
1,0
1,0
0,0
10,0
0,6
21536,2048
3948,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
137,0
9267,-10109
1,0
1,0
0,0
10,0
0,6
21536,2048
3776,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
138,0
7389,-9346
1,0
1,0
0,0
10,0
0,6
18895,-1942
-14000,14876
-18587,-17841
-26884,14933
258,772
1286,1800
512,774
64,6
26691,10
139,0
1698,-8583
1,0
1,0
0,0
10,0
0,6
21536,2048
4161,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
140,0
-1855,-7821
1,0
1,0
0,0
10,0
0,6
21536,2048
4348,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
141,0
-6209,-7058
1,0
1,0
0,0
10,0
0,6
21536,2048
4412,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
142,0
-7928,-6295
1,0
1,0
0,0
10,0
0,6
21536,2048
4783,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
143,0
-10699,-5532
1,0
1,0
0,0
10,0
0,6
21536,2048
4969,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
144,0
-18357,-4769
1,0
1,0
0,0
10,0
0,6
21536,2048
4141,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
145,0
-22466,-4006
1,0
1,0
0,0
10,0
0,6
21536,2048
3880,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
146,0
-23847,-3243
1,0
1,0
0,0
10,0
0,6
21536,2048
6470,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
147,0
-28220,-2480
1,0
1,0
0,0
10,0
0,6
18895,-1942
-14000,14876
-18587,-17841
-26884,14933
258,772
1286,1800
512,774
64,6
26691,10
148,0
-3292,-1717
2,0
1,0
0,0
10,0
0,6
21536,2048
26370,1
21618,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
149,0
-6387,-954
2,0
1,0
0,0
10,0
0,6
21536,2048
27147,1
21622,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
150,0
-11415,-191
2,0
1,0
0,0
10,0
0,6
21536,2048
25993,1
21711,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
151,0
19443,572
1,0
1,0
0,0
10,0
0,6
21536,2048
4109,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
152,0
15244,1335
1,0
1,0
0,0
10,0
0,6
21536,2048
3844,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
153,0
11428,2098
1,0
1,0
0,0
10,0
0,6
21536,2048
3989,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
154,0
-26797,2861
2,0
1,0
0,0
10,0
0,6
21536,2048
26567,1
21623,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
155,0
-31453,3624
2,0
1,0
0,0
10,0
0,6
21536,2048
25905,1
21618,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
156,0
31845,4387
2,0
1,0
0,0
10,0
0,6
21536,2048
27540,1
21609,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
157,0
27285,5150
2,0
1,0
0,0
10,0
0,6
21536,2048
27045,1
21622,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
158,0
-8675,5912
1,0
1,0
0,0
10,0
0,6
21536,2048
3832,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
159,0
-12670,6675
1,0
1,0
0,0
10,0
0,6
21536,2048
3592,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
160,0
-16186,7438
1,0
1,0
0,0
10,0
0,6
21536,2048
4056,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
161,0
-20726,8201
1,0
1,0
0,0
10,0
0,6
21536,2048
3804,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
162,0
-24257,8964
1,0
1,0
0,0
10,0
0,6
21536,2048
4118,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
163,0
-27508,9727
1,0
1,0
0,0
10,0
0,6
21536,2048
4422,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
164,0
-31954,10490
1,0
1,0
0,0
10,0
0,6
21536,2048
4278,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
165,0
29610,11253
1,0
1,0
0,0
10,0
0,6
21536,2048
4136,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
166,0
25140,12016
1,0
1,0
0,0
10,0
0,6
21536,2048
3974,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
167,0
21295,12779
1,0
1,0
0,0
10,0
0,6
21536,2048
3967,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
168,0
17430,13542
1,0
1,0
0,0
10,0
0,6
21536,2048
3975,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
169,0
13580,14305
1,0
1,0
0,0
10,0
0,6
21536,2048
4093,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
170,0
9541,15068
1,0
1,0
0,0
10,0
0,6
21536,2048
3920,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
171,0
7934,15831
1,0
1,0
0,0
10,0
0,6
21536,2048
6503,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
172,0
1624,16594
1,0
1,0
0,0
10,0
0,6
21536,2048
4060,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
173,0
-1606,17356
1,0
1,0
0,0
10,0
0,6
21536,2048
4664,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
174,0
-6041,18119
1,0
1,0
0,0
10,0
0,6
21536,2048
4330,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
175,0
-9958,18882
1,0
1,0
0,0
10,0
0,6
21536,2048
4471,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
176,0
-14255,19645
1,0
1,0
0,0
10,0
0,6
21536,2048
4161,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
177,0
17103,20409
3,0
1,0
0,0
10,0
0,6
21536,2048
30572,1
21622,0
3,0
258,772
1286,1800
512,774
64,6
26691,10
178,0
-21842,21171
1,0
1,0
0,0
10,0
0,6
21536,2048
4619,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
179,0
-25853,21934
1,0
1,0
0,0
10,0
0,6
21536,2048
4455,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
180,0
1610,22698
2,0
1,0
0,0
10,0
0,6
21536,2048
26889,1
21618,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
181,0
31317,23460
1,0
1,0
0,0
10,0
0,6
21536,2048
4033,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
182,0
28000,24223
1,0
1,0
0,0
10,0
0,6
21536,2048
4648,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
183,0
-11347,24986
2,0
1,0
0,0
10,0
0,6
21536,2048
26104,1
21618,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
184,0
20175,25749
1,0
1,0
0,0
10,0
0,6
21536,2048
4394,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
185,0
16021,26512
1,0
1,0
0,0
10,0
0,6
21536,2048
4601,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
186,0
13397,27275
1,0
1,0
0,0
10,0
0,6
21536,2048
4888,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
187,0
7467,28038
1,0
1,0
0,0
10,0
0,6
21536,2048
4080,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
188,0
3761,28801
1,0
1,0
0,0
10,0
0,6
21536,2048
4130,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
189,0
-148,29563
1,0
1,0
0,0
10,0
0,6
21536,2048
4189,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
190,0
-3924,30326
1,0
1,0
0,0
10,0
0,6
21536,2048
4374,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
191,0
-6044,31089
1,0
1,0
0,0
10,0
0,6
21536,2048
5049,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
192,0
-12025,31852
1,0
1,0
0,0
10,0
0,6
21536,2048
4270,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
193,0
-15902,32615
1,0
1,0
0,0
10,0
0,6
21536,2048
4314,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
194,0
-20195,-32158
1,0
1,0
0,0
10,0
0,6
21536,2048
4081,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
195,0
-24216,-31395
1,0
1,0
0,0
10,0
0,6
21536,2048
4031,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
196,0
-27906,-30632
1,0
1,0
0,0
10,0
0,6
21536,2048
4315,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
197,0
-2231,-29869
2,0
1,0
0,0
10,0
0,6
21536,2048
24946,1
21622,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
198,0
29838,-29106
1,0
1,0
0,0
10,0
0,6
21536,2048
4367,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
199,0
25539,-28343
1,0
1,0
0,0
10,0
0,6
21536,2048
3995,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
200,0
21575,-27580
1,0
1,0
0,0
10,0
0,6
21536,2048
4126,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
201,0
18358,-26817
1,0
1,0
0,0
10,0
0,6
21536,2048
4191,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
202,0
13630,-26054
1,0
1,0
0,0
10,0
0,6
21536,2048
4031,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
203,0
9863,-25291
1,0
1,0
0,0
10,0
0,6
21536,2048
4012,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
204,0
9357,-24528
1,0
1,0
0,0
10,0
0,6
21536,2048
5026,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
205,0
31475,-23765
2,0
1,0
0,0
10,0
0,6
21536,2048
25637,1
21036,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
206,0
-2942,-23003
1,0
1,0
0,0
10,0
0,6
21536,2048
3443,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
207,0
-5864,-22240
1,0
1,0
0,0
10,0
0,6
21536,2048
4368,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
208,0
-10397,-21477
1,0
1,0
0,0
10,0
0,6
21536,2048
3902,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
209,0
-14465,-20714
1,0
1,0
0,0
10,0
0,6
21536,2048
3800,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
210,0
-18357,-19951
1,0
1,0
0,0
10,0
0,6
21536,2048
3876,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
211,0
-22488,-19188
1,0
1,0
0,0
10,0
0,6
21536,2048
3734,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
212,0
-25988,-18425
1,0
1,0
0,0
10,0
0,6
21536,2048
4181,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
213,0
-30452,-17662
1,0
1,0
0,0
10,0
0,6
21536,2048
3787,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
214,0
31313,-16899
1,0
1,0
0,0
10,0
0,6
21536,2048
3882,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
215,0
27396,-16136
1,0
1,0
0,0
10,0
0,6
21536,2048
4035,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
216,0
23329,-15373
1,0
1,0
0,0
10,0
0,6
21536,2048
3850,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
217,0
19440,-14610
1,0
1,0
0,0
10,0
0,6
21536,2048
3908,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
218,0
15613,-13847
1,0
1,0
0,0
